method,dataset,seed,n_features_selected,n_features_total,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc_ovr,pr_auc_macro,train_time_s,infer_total_s,latency_ms_per_flow,fidelity
none,cicids2017,0,78,78,0.99823,0.779987228445186,0.7856030740215482,0.7819556438324263,0.998264783759169,0.5248693396031191,0.07921156640087786,22.24115800857544,1.2893187999725342,0.012893187999725341,
none,cicids2017,1,78,78,0.99678,0.7872910283222223,0.8597218131205913,0.8083224726359368,0.9976364312731746,0.6299934452401488,0.2422618729835414,23.768446922302246,1.6357221603393555,0.016357221603393556,
none,cicids2017,2,78,78,0.98873,0.6121403732276599,0.6642433752167896,0.6208398076162241,0.9899223530163296,0.6301727645933437,0.19327088480543106,23.139211416244507,1.6754558086395264,0.016754558086395265,
none,cicids2017,3,78,78,0.99443,0.6896662228065107,0.7655536322837757,0.7072575606775277,0.9947018057691727,0.5143120692164437,0.08315406928897037,21.110026121139526,0.917985200881958,0.00917985200881958,
none,cicids2017,4,78,78,0.99819,0.7963833684574954,0.8158752120755378,0.8025924614456108,0.9982308474239445,0.5904645550575592,0.16358145294486484,24.43748378753662,1.8391900062561035,0.018391900062561035,
filter,cicids2017,0,39,78,0.99828,0.7962433967113172,0.8248346469957598,0.8014346088617359,0.9983279097739708,0.5340429110325793,0.10484400844225378,18.096052885055542,1.01118803024292,0.0101118803024292,
filter,cicids2017,1,39,78,0.99621,0.7530241402542507,0.8775123251102499,0.7752440229476872,0.9965145149940108,0.6112868678108605,0.19322748126499595,19.23466658592224,1.1619257926940918,0.011619257926940917,
filter,cicids2017,2,39,78,0.9898,0.5833590525894674,0.7290313947686686,0.5969966607478517,0.9904930042869499,0.5324794338354182,0.10409259711729217,19.171550989151,1.5987060070037842,0.01598706007003784,
filter,cicids2017,3,39,78,0.99599,0.7182726666857148,0.8250848382647921,0.7342872164246016,0.9962629313981296,0.5285349580650022,0.10211349584557441,18.08238673210144,1.184436559677124,0.01184436559677124,
filter,cicids2017,4,39,78,0.99565,0.7000610298206261,0.811274258793912,0.7312564583246811,0.9958355152867627,0.5778697338675453,0.14602439868272105,18.914357900619507,0.9725203514099121,0.009725203514099121,
rfe,cicids2017,0,39,78,0.99056,0.7769238412024954,0.7787701473805465,0.7767619074282943,0.994008846508639,0.5624006548852866,0.14510650459102653,20.22327184677124,1.5040943622589111,0.015040943622589112,
rfe,cicids2017,1,39,78,0.92478,0.2563189957481835,0.18444708901091092,0.20078764347600941,0.9102509614564686,0.5789128688756746,0.17755136375652242,16.782976388931274,1.3820915222167969,0.01382091522216797,
rfe,cicids2017,2,39,78,0.98917,0.7872927156606929,0.805267862579932,0.7788648677386889,0.9936931550520053,0.6533304772891122,0.17025602979886895,16.748608350753784,1.1661105155944824,0.011661105155944824,
rfe,cicids2017,3,39,78,0.85139,0.21131500143462031,0.24974419690332514,0.18947594693892897,0.8589355013096914,0.6113750058372613,0.15111205313240703,21.14470338821411,2.212003231048584,0.02212003231048584,
