reference,vs_method,metric,n,statistic,p_value
bgwo_shap,none,macro_f1,0,,
bgwo_shap,filter,macro_f1,0,,
bgwo_shap,rfe,macro_f1,0,,
bgwo_shap,lasso,macro_f1,0,,
bgwo_shap,rf_imp,macro_f1,0,,
bgwo_shap,boruta,macro_f1,0,,
bgwo_shap,none,accuracy,0,,
bgwo_shap,filter,accuracy,0,,
bgwo_shap,rfe,accuracy,0,,
bgwo_shap,lasso,accuracy,0,,
bgwo_shap,rf_imp,accuracy,0,,
bgwo_shap,boruta,accuracy,0,,
bgwo_shap,none,n_features_selected,0,,
bgwo_shap,filter,n_features_selected,0,,
bgwo_shap,rfe,n_features_selected,0,,
bgwo_shap,lasso,n_features_selected,0,,
bgwo_shap,rf_imp,n_features_selected,0,,
bgwo_shap,boruta,n_features_selected,0,,
bgwo_shap,none,latency_ms_per_flow,0,,
bgwo_shap,filter,latency_ms_per_flow,0,,
bgwo_shap,rfe,latency_ms_per_flow,0,,
bgwo_shap,lasso,latency_ms_per_flow,0,,
bgwo_shap,rf_imp,latency_ms_per_flow,0,,
bgwo_shap,boruta,latency_ms_per_flow,0,,
